BTYPE,BTYPE_CODE,ELECTRICITY,NG,OTHER
One Storey House with basement,ONWB,0.2033,0.4366,0
One Storey House without basement,ONWOB,0.2462,0.5247,0
Two Storey House with basement,TSHWB,0.1576,0.3584,0
Two Storey House without basement,TSHWOB,0.201,0.4439,0
Mobile Home,MH,0.2334,0.4277,0
Apartment,AP,1.0055,1.3775,0
Office and Retail,OR,0.6917,0.7851,0
Industrial and Warehouse,IW,0.5735,0.9134,0
Accomodation and Food,HM,0.9192,1.2526,0
Institution,INST,0.9333,1.2417,0
Other Commercial,OC,0.6275,0.8843,0
