YEAR,HDD,CDD
2000,3821.9,205.4
2001,3457.5,299.4
2002,3439.2,410.1
2003,3993,243.7
2004,3806.4,194.3
2005,3775,449.4
2006,3373.3,309
2007,3694.1,336.5
2008,3814.7,238.1
2009,3782.3,187.8
2010,3477.3,375.5
2011,3599.8,356.5
2012,3200.2,417.1
2013,3754.8,280.7
2014,3457.864,381.508
2015,3585.128,348.404
2016,3583.064,390.264
2017,3439.388,380.308
2018,3469.424,379.932
2019,3455.832,397
2020,3477.74,406.88
2021,3524.204,401.084
2022,3475.596,398.072
2023,3478.776,435.824
2024,3405.768,427.276
2025,3413.624,392.3
2026,3469.696,416.612
2027,3457.068,423.62
2028,3460.392,450.368
2029,3388.64,421.984
2030,3309.588,461.84
2031,3330.224,471.216
2032,3292.084,430.056
2033,3340.232,447.444
2034,3290.112,469.588
2035,3262.18,494.024
2036,3258.196,503.892
2037,3223.32,507.34
2038,3195.888,518.824
2039,3235.856,502.712
2040,3239.52,501.696
2041,3178.884,524.784
2042,3111.408,522.976
2043,3097.784,500.212
2044,3122.584,518.216
2045,3126.268,543.4
2046,3119.116,573.664
2047,3064.62,585.568
2048,3027.824,584.188
2049,3084.096,575.428
2050,2985.524,602.36
2051,2987.992,607.408
2052,3014.784,592.688
2053,2916.336,620.356
2054,2918.872,623.752
2055,2929.696,621.936
2056,2909.272,640.48
2057,2988.376,637.776
2058,2862.216,690.176
2059,2798.84,682.56
2060,2836.3,666.668
2061,2848.84,707.808
2062,2849.372,669.992
2063,2726.444,713.628
2064,2730.556,766.428
2065,2747.192,791.076
2066,2783.244,722.596
2067,2804.484,765.384
2068,2728.904,802.28
2069,2689.16,763.856
2070,2579.292,793.16
2071,2632.36,813.276
2072,2675.664,811.24
2073,2599.2,862.696
2074,2596.38,825.42
2075,2591.588,862.836
2076,2600.18,836.268
2077,2604.132,852.792
2078,2557.892,857.332
2079,2473.684,848.328
2080,2496.624,875.992
2081,2482.2,904.488
2082,2410.108,898.664
2083,2464.96,881.324
2084,2482.488,877.856
2085,2383.184,958.192
2086,2503.7,942.58
2087,2395.408,972.664
2088,2379.528,983.516
2089,2379.744,1003.676
2090,2367.776,1015.188
2091,2324.916,988.288
2092,2307.524,1015.008
2093,2346.98,1084.292
2094,2329.684,1029.696
2095,2364.012,1064.312
